Question Number,Question Body,Question Choices,Question URL
7,What is a Kubernetes service with no cluster IP address called?,"A. Headless Service
B. Nodeless Service
C. IPLess Service
D. Specless Service",https://www.examtopics.com/discussions/linux-foundation/view/119235-exam-kcna-topic-1-question-7-discussion/
78,How does dynamic storage provisioning work?,"A. A user requests dynamically provisioned storage by including an existing storage class in their PersistentVolumeClaim.
B. An administrator creates a storage class and includes it in their pod YAML definition file without creating a PersistentVolumeClaim.
C. A pod requests dynamically provisioned storage by including a storage class and the pod name in their PersistentVolumeClaim.
D. An administrator creates a PersistentVolume and includes the name of the PersistentVolume in their pod YAML definition file.",https://www.examtopics.com/discussions/linux-foundation/view/135377-exam-kcna-topic-1-question-78-discussion/
73,What is the role of a NetworkPolicy in Kubernetes?,"A. The ability to cryptic and obscure all traffic.
B. The ability to classify the Pods as isolated and non isolated.
C. The ability to prevent loopback or incoming host traffic.
D. The ability to log network security events.",https://www.examtopics.com/discussions/linux-foundation/view/133487-exam-kcna-topic-1-question-73-discussion/
66,Which statement about the Kubernetes network model is correct?,"A. Pods can only communicate with Pods exposed via a Service.
B. Pods can communicate with all Pods without NAT.
C. The Pod IP is only visible inside a Pod.
D. The Service IP is used for the communication between Services.",https://www.examtopics.com/discussions/linux-foundation/view/135374-exam-kcna-topic-1-question-66-discussion/
55,What is the name of the Kubernetes resource used to expose an application?,"A. Port
B. Service
C. DNS
D. Deployment",https://www.examtopics.com/discussions/linux-foundation/view/135370-exam-kcna-topic-1-question-55-discussion/
97,Which of the following will view the snapshot of previously terminated ruby container logs from Pod web-1?,"A. kubectl logs -p -c ruby web-1
B. kubectl logs -c ruby web-1
C. kubectl logs -p ruby web-1
D. kubectl logs -p -c web-1 ruby",https://www.examtopics.com/discussions/linux-foundation/view/129525-exam-kcna-topic-1-question-97-discussion/
11,How long should a stable API element in Kubernetes be supported (at minimum) after deprecation?,"A. 9 months
B. 24 months
C. 12 months
D. 6 months",https://www.examtopics.com/discussions/linux-foundation/view/118205-exam-kcna-topic-1-question-11-discussion/
12,What is the name of the lightweight Kubernetes distribution built for IoT and edge computing?,"A. OpenShift
B. k3s
C. RKE
D. k1s",https://www.examtopics.com/discussions/linux-foundation/view/118206-exam-kcna-topic-1-question-12-discussion/
35,What are the initial namespaces that Kubernetes starts with?,"A. default, kube-system, kube-public, kube-node-lease
B. default, system, kube-public
C. kube-default, kube-system, kube-main, kube-node-lease
D. kube-default, system, kube-main, kube-primary",https://www.examtopics.com/discussions/linux-foundation/view/132343-exam-kcna-topic-1-question-35-discussion/
17,"After modifying GNU GRUB's configuration file, which command must be run for the changes to take effect?","A. kill -HUP $(pidof grub)
B. grub-install
C. grub
D. No action is required",https://www.examtopics.com/discussions/linux-foundation/view/43638-exam-lfcs-topic-1-question-17-discussion/
16,Which of the following options for the kernel's command line changes the systemd boot target to rescue.target instead of the default target?,"A. systemd.target=rescue.target
B. systemd.runlevel=rescue.target
C. systemd.service=rescue.target
D. systemd.default=rescue.target
E. systemd.unit=rescue.target",https://www.examtopics.com/discussions/linux-foundation/view/43637-exam-lfcs-topic-1-question-16-discussion/
26,Which of the following is correct when talking about mount points?,"A. Every existing directory can be used as a mount point.
B. Only empty directories can be used as a mount point.
C. Directories need to have the SetUID flag set to be used as a mount point.
D. Files within a directory are deleted when the directory is used as a mount point.",https://www.examtopics.com/discussions/linux-foundation/view/61906-exam-lfcs-topic-1-question-26-discussion/
257,What is the output of the following command? for token in a b c; do echo -n ${token}; done,"A. anbncn
B. abc
C. $token$token$token
D. {a}{b}{c}
E. a b c",https://www.examtopics.com/discussions/linux-foundation/view/131395-exam-lfcs-topic-1-question-257-discussion/
245,"What is the output of the following command sequence? for token in a b c; do echo -n ""$token ""; done","A. anbncn
B. a b c
C. ""a "" ""b "" ""c ""
D. token token token
E. abc",https://www.examtopics.com/discussions/linux-foundation/view/29726-exam-lfcs-topic-1-question-245-discussion/
232,Which of the following find commands will print out a list of files owned by root and with the SUID bit set in /usr?,"A. find /usr -uid 0 -perm +4000
B. find -user root +mode +s /usr
C. find -type suid -username root -d /usr
D. find /usr -ls \*s\* -u root
E. find /usr -suid -perm +4000",https://www.examtopics.com/discussions/linux-foundation/view/95039-exam-lfcs-topic-1-question-232-discussion/
55,What is the default nice level when a process is started using the nice command?,"A. -10
B. 10
C. 20
D. 0",https://www.examtopics.com/discussions/linux-foundation/view/44763-exam-lfcs-topic-1-question-55-discussion/
48,A user accidentally created the subdirectory \dir in his home directory. Which of the following commands will remove that directory?,"A. rmdir '~/\dir'
B. rmdir ""~/\dir""
C. rmdir ~/'dir'
D. rmdir ~/\dir
E. rmdir ~/\\dir",https://www.examtopics.com/discussions/linux-foundation/view/57561-exam-lfcs-topic-1-question-48-discussion/
198,Which of the following commands will help identify a broken router between the local and the remote machine?,"A. ps
B. netstat
C. nslookup
D. ifconfig
E. traceroute",https://www.examtopics.com/discussions/linux-foundation/view/2039-exam-lfcs-topic-1-question-198-discussion/
240,Which of the following commands connects to the remote host example.com which has OpenSSH listening on TCP port 2222? (Choose TWO correct answers.),"A. ssh --port 2222 example.com
B. ssh -p 2222 example.com
C. ssh -o Port=2222 example.com
D. ssh -o GatewayPort=2222 example.com
E. ssh example.com:2222",https://www.examtopics.com/discussions/linux-foundation/view/130268-exam-lfcs-topic-1-question-240-discussion/
214,Which of the following IPv4 networks are reserved by IANA for private address assignment and private routing? (Choose THREE correct answers.),"A. 127.0.0.0/8
B. 10.0.0.0/8
C. 169.255.0.0/16
D. 172.16.0.0/12
E. 192.168.0.0/16",https://www.examtopics.com/discussions/linux-foundation/view/130266-exam-lfcs-topic-1-question-214-discussion/
166,Which of the following files assigns a user to its primary group?,"A. /etc/pgroup
B. /etc/shadow
C. /etc/group
D. /etc/passwd
E. /etc/gshadow",https://www.examtopics.com/discussions/linux-foundation/view/130260-exam-lfcs-topic-1-question-166-discussion/
148,"For accessibility assistance, which of the following programs is an on-screen keyboard?","A. xkb
B. atkb
C. GOK
D. xOSK",https://www.examtopics.com/discussions/linux-foundation/view/130259-exam-lfcs-topic-1-question-148-discussion/
134,What output will the following command produce? seq 1 5 20,"A. 1
B. 1
C. 1
D. 2
E. 5",https://www.examtopics.com/discussions/linux-foundation/view/8100-exam-lfcs-topic-1-question-134-discussion/
128,"After issuing: function myfunction { echo $1 $2 ; } in Bash, which output does: myfunction A B C Produce?","A. A B
B. A B C
C. A C
D. B C
E. C B A",https://www.examtopics.com/discussions/linux-foundation/view/130256-exam-lfcs-topic-1-question-128-discussion/
125,What output will the command seq 10 produce?,"A. A continuous stream of numbers increasing in increments of 10 until stopped.
B. The numbers 1 through 10 with one number per line.
C. The numbers 0 through 9 with one number per line.
D. The number 10 to standard output.",https://www.examtopics.com/discussions/linux-foundation/view/130255-exam-lfcs-topic-1-question-125-discussion/
165,Which of the following crontab entries will execute myscript at 30 minutes past every hour on Sundays?,"A. 0 * * * 30 myscript
B. 30 * * * 6 myscript
C. 30 0 * * 0 myscript
D. 30 0-23 * * 0 myscript
E. 0 0-23 * * 30 myscript",https://www.examtopics.com/discussions/linux-foundation/view/106538-exam-lfcs-topic-1-question-165-discussion/
218,Given the following routing table: How would an outgoing packet to the destination 192.168.2.150 be handled?,"A. It would be passed to the default router 192.168.178.1 on wlan0.
B. It would be directly transmitted on the device eth0.
C. It would be passed to the default router 255.255.255.0 on eth0.
D. It would be directly transmitted on the device wlan0.
E. It would be passed to the router 192.168.1.1 on eth0.",https://www.examtopics.com/discussions/linux-foundation/view/8185-exam-lfcs-topic-1-question-218-discussion/
85,Which are the two primary modes for Service discovery within a Kubernetes cluster?,"A. Environment variables and DNS
B. API Calls and LDAP
C. Labels and Radius
D. Selectors and DHCP",https://www.examtopics.com/discussions/linux-foundation/view/128782-exam-kcna-topic-1-question-85-discussion/
17,Which of the following characteristics is associated with container orchestration?,"A. Application message distribution
B. Dynamic scheduling
C. Deploying application JAR files
D. Virtual Machine distribution",https://www.examtopics.com/discussions/linux-foundation/view/126496-exam-kcna-topic-1-question-17-discussion/
9,Encryption that uses both a private key and public key is known as what?,"A. Key Pair Encryption (symmetric cryptography)
B. HMAC Cryptography (hash based message authentication)
C. Public Key Cryptography (asymmetric cryptography)
D. DPE (dual-phased hybrid encryption)",https://www.examtopics.com/discussions/linux-foundation/view/126929-exam-lfca-topic-1-question-9-discussion/
16,"In which framework do the developers no longer have to deal with capacity, deployments, scaling and fault tolerance, and OS?","A. Docker Swam
B. Kubernetes
C. Mesos
D. Serverless",https://www.examtopics.com/discussions/linux-foundation/view/122259-exam-kcna-topic-1-question-16-discussion/
15,"In a cloud native world, what does the IaC abbreviation stands for?","A. Infrastructure and Code
B. Infrastructure as Code
C. Infrastructure above Code
D. Infrastructure across Code",https://www.examtopics.com/discussions/linux-foundation/view/119238-exam-kcna-topic-1-question-15-discussion/
1,"Which of the following commands can be used to lock a user’s account so that they cannot log into a Linux server without removing any files, folders, or data?","A. lock
B. usermod
C. userdel
D. chmod",https://www.examtopics.com/discussions/linux-foundation/view/123018-exam-lfca-topic-1-question-1-discussion/
8,What does LVM stand for?,"A. Logical Virtualization Manager
B. Linux Volume Manager
C. Logical Volume Manager
D. Linux Virtualization Manager",https://www.examtopics.com/discussions/linux-foundation/view/123751-exam-lfca-topic-1-question-8-discussion/
7,Which utility is used to create public and private key pairs for SSH authentication?,"A. adduser
B. ssh-keygen
C. keygen
D. ssh",https://www.examtopics.com/discussions/linux-foundation/view/123750-exam-lfca-topic-1-question-7-discussion/
6,"A software development team uses a single physical server for testing the latest code in multiple environments: development, pre-production, and production. What is the recommended approach to maintain the basic security of these environments?","A. Assign different developers on the team to work on test, pre-prod, and prod code.
B. Implement peer review for all the changes deployed into any of the environments.
C. Develop and deploy each environment with its own set of software tools.
D. Use different user/group IDs for deploying and running workload in each environment.",https://www.examtopics.com/discussions/linux-foundation/view/123749-exam-lfca-topic-1-question-6-discussion/
5,A company’s IT associate lists the contents of a directory and sees this line: -rwsr-x--x 2 bob sales 2047 Oct 10 09:44 sales-report What happens when Alice from the accounting team tries to execute this file?,"A. The script executes using Bob’s account.
B. The script executes, but Alice cannot see the results.
C. The script executes and Bob is notified.
D. The script fails to execute; Alice is not on the sales team.",https://www.examtopics.com/discussions/linux-foundation/view/122433-exam-lfca-topic-1-question-5-discussion/
3,An IT team is currently implementing a custom software platform to address some key needs of the company. Which of the following is considered a functional requirement?,"A. Identifying the purpose of the proposed system
B. Identifying the users of the proposed system
C. Identifying the development methodology
D. Identifying the technology stack of the proposed system",https://www.examtopics.com/discussions/linux-foundation/view/123748-exam-lfca-topic-1-question-3-discussion/
4,A server on the network is unreachable. What is the best method to verify connectivity between your computer and the remote server?,"A. lookup
B. find
C. ping
D. netstat",https://www.examtopics.com/discussions/linux-foundation/view/123747-exam-lfca-topic-1-question-4-discussion/
2,Which of the following technologies is supported by the majority of cloud providers in order to support the orchestration of containerized applications?,"A. Kubernetes
B. Vagrant
C. Ansible
D. Terraform",https://www.examtopics.com/discussions/linux-foundation/view/123745-exam-lfca-topic-1-question-2-discussion/
26,"What is the order of 4C’s in Cloud Native Security, starting with the layer that a user has the most control over?","A. Cloud -> Container -> Cluster -> Code
B. Container -> Cluster -> Code -> Cloud
C. Cluster -> Container -> Code -> Cloud
D. Code -> Container -> Cluster -> Cloud",https://www.examtopics.com/discussions/linux-foundation/view/119247-exam-kcna-topic-1-question-26-discussion/
5,What is the default value for authorization-mode in Kubernetes API server?,"A. --authorization-mode=RBAC
B. --authorization-mode=AlwaysAllow
C. --authorization-mode=AlwaysDeny
D. --authorization-mode=ABAC",https://www.examtopics.com/discussions/linux-foundation/view/119231-exam-kcna-topic-1-question-5-discussion/
113,"Instead of supplying an explicit device in /etc/fstab for mounting, what other options may be used to identify the intended partition? (Choose TWO correct answers.)","A. FIND
B. ID
C. LABEL
D. NAME
E. UUID",https://www.examtopics.com/discussions/linux-foundation/view/112488-exam-lfcs-topic-1-question-113-discussion/
111,What is the purpose of the Filesystem Hierarchy Standard?,"A. It is a security model used to ensure files are organized according to their permissions and accessibility.
B. It provides unified tools to create, maintain and manage multiple filesystems in a common way.
C. It defines a common internal structure of inodes for all compliant filesystems.
D. It is a distribution neutral description of locations of files and directories.",https://www.examtopics.com/discussions/linux-foundation/view/112487-exam-lfcs-topic-1-question-111-discussion/
110,Which of the following Linux filesystems preallocates a fixed number of inodes at the filesystem's make/creation time and does NOT generate them as needed? (Choose TWO correct answers.),"A. ext3
B. JFS
C. ext2
D. XFS
E. procfs",https://www.examtopics.com/discussions/linux-foundation/view/112466-exam-lfcs-topic-1-question-110-discussion/
109,Which utility would be used to change how often a filesystem check is performed on an ext2 filesystem without losing any data stored on that filesystem?,"A. mod2fs
B. fsck
C. tune2fs
D. mke2fs
E. fixe2fs",https://www.examtopics.com/discussions/linux-foundation/view/112465-exam-lfcs-topic-1-question-109-discussion/
104,SIMULATION - Which command is used to create and initialize the files used to store quota information? (Specify ONLY the command without any path or parameters.),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/57595-exam-lfcs-topic-1-question-104-discussion/
103,How many fields are in a syntactically correct line of /etc/fstab?,"A. 3
B. 4
C. 5
D. 6
E. 7",https://www.examtopics.com/discussions/linux-foundation/view/50351-exam-lfcs-topic-1-question-103-discussion/
100,Which of the following commands can be used to locate programs and their corresponding man pages and configuration files?,"A. dirname
B. which
C. basename
D. query
E. whereis",https://www.examtopics.com/discussions/linux-foundation/view/112461-exam-lfcs-topic-1-question-100-discussion/
99,"In order to display all currently mounted filesystems, which of the following commands could be used? (Choose TWO correct answers.)","A. cat /proc/self/mounts
B. free
C. mount
D. lsmounts
E. cat /proc/filesystems",https://www.examtopics.com/discussions/linux-foundation/view/112459-exam-lfcs-topic-1-question-99-discussion/
98,Which of the following is the device file name for the second partition on the only SCSI drive?,"A. /dev/hda1
B. /dev/sda2
C. /dev/sd0a2
D. /dev/sd1p2",https://www.examtopics.com/discussions/linux-foundation/view/57591-exam-lfcs-topic-1-question-98-discussion/
95,Which of the following commands can be used to search for the executable file foo when it has been placed in a directory not included in $PATH?,"A. apropos
B. which
C. find
D. query
E. whereis",https://www.examtopics.com/discussions/linux-foundation/view/112448-exam-lfcs-topic-1-question-95-discussion/
86,Which of the following commands prints all files and directories within the /tmp directory or its subdirectories which are also owned by the user root? (Choose TWO correct answers.),"A. find /tmp -uid root -print
B. find -path /tmp -uid root
C. find /tmp -user root -print
D. find /tmp -user root
E. find -path /tmp -user root –print",https://www.examtopics.com/discussions/linux-foundation/view/112447-exam-lfcs-topic-1-question-86-discussion/
84,Which of the following commands determines the type of a file by using a definition database file which contains information about all common file types?,"A. magic
B. type
C. file
D. pmagic
E. hash",https://www.examtopics.com/discussions/linux-foundation/view/112446-exam-lfcs-topic-1-question-84-discussion/
83,Which variable defines the directories in which a Bash shell searches for executable commands?,"A. BASHEXEC
B. BASHRC
C. PATH
D. EXECPATH
E. PATHRC",https://www.examtopics.com/discussions/linux-foundation/view/112445-exam-lfcs-topic-1-question-83-discussion/
82,Which of the following command sets the Bash variable named TEST with the content FOO?,"A. set TEST=""FOO""
B. TEST = ""FOO""
C. var TEST=""FOO""
D. TEST=""FOO""",https://www.examtopics.com/discussions/linux-foundation/view/106079-exam-lfcs-topic-1-question-82-discussion/
77,"Which character, added to the end of a command, runs that command in the background as a child process of the current shell?","A. !
B. +
C. &
D. %
E. #",https://www.examtopics.com/discussions/linux-foundation/view/112399-exam-lfcs-topic-1-question-77-discussion/
76,Which of the following commands will reduce all consecutive spaces down to a single space?,"A. tr '\s' ' ' < a.txt > b.txt
B. tr -c ' ' < a.txt > b.txt
C. tr -d ' ' < a.txt > b.txt
D. tr -r ' ' '\n' < a.txt > b.txt
E. tr -s ' ' < a.txt > b.txt",https://www.examtopics.com/discussions/linux-foundation/view/104999-exam-lfcs-topic-1-question-76-discussion/
10,What information can the lspci command display about the system hardware? (Choose THREE correct answers.),"A. Device IRQ settings
B. PCI bus speed
C. System battery type
D. Device vendor identification
E. Ethernet MAC address",https://www.examtopics.com/discussions/linux-foundation/view/43628-exam-lfcs-topic-1-question-10-discussion/
73,"In the vi editor, which of the following commands will copy the current line into the vi buffer?","A. c
B. cc
C. 1c
D. yy
E. 1y",https://www.examtopics.com/discussions/linux-foundation/view/68326-exam-lfcs-topic-1-question-73-discussion/
71,Which shell command is used to continue background execution of a suspended command?,"A. &
B. bg
C. cont
D. exec
E. :&",https://www.examtopics.com/discussions/linux-foundation/view/112387-exam-lfcs-topic-1-question-71-discussion/
69,"From a Bash shell, which of the following commands directly executes the instruction from the file /usr/local/bin/runme.sh without starting a subshell? (Please select TWO answers.)","A. source /usr/local/bin/runme.sh
B. . /usr/local/bin/runme.sh
C. /bin/bash /usr/local/bin/runme.sh
D. /usr/local/bin/runme.sh
E. run /usr/local/bin/runme.sh",https://www.examtopics.com/discussions/linux-foundation/view/44893-exam-lfcs-topic-1-question-69-discussion/
68,Which of the following commands replaces each occurrence of 'bob' in the file letter with 'Bob' and writes the result to the file newletter?,"A. sed '/bob/Bob' letter > newletter
B. sed s/bob/Bob/ letter < newletter
C. sed 's/bob/Bob' letter > newletter
D. sed 's/bob/Bob/g' letter > newletter
E. sed 's/bob, Bob/' letter > newletter",https://www.examtopics.com/discussions/linux-foundation/view/57587-exam-lfcs-topic-1-question-68-discussion/
63,"Which of the following files, located in the user home directory, is used to store the Bash history?","A. .bash_history
B. .bash_histfile
C. .history
D. .bashrc_history
E. .history_bash",https://www.examtopics.com/discussions/linux-foundation/view/112385-exam-lfcs-topic-1-question-63-discussion/
61,What does the symbol within regular expressions represent?,"A. Match the preceding qualifier one or more times.
B. Match the preceding qualifier zero or more times.
C. Match the preceding qualifier zero or one times.
D. Match a literal character.",https://www.examtopics.com/discussions/linux-foundation/view/36897-exam-lfcs-topic-1-question-61-discussion/
59,Which of the following commands moves and resumes in the background the last stopped shell job?,"A. run
B. bg
C. fg
D. back",https://www.examtopics.com/discussions/linux-foundation/view/112377-exam-lfcs-topic-1-question-59-discussion/
57,What is the difference between the i and a commands of the vi editor?,"A. i (interactive) requires the user to explicitly switch between vi modes whereas a (automatic) switches modes automatically.
B. i (insert) inserts text before the current cursor position whereas a (append) inserts text after the cursor.
C. i (independent rows) starts every new line at the first character whereas a (aligned rows) keeps the indentation of the previous line.
D. i (interrupt) temporarily suspends editing of a file to the background whereas a (abort) terminates editing.",https://www.examtopics.com/discussions/linux-foundation/view/44766-exam-lfcs-topic-1-question-57-discussion/
56,What is the default action of the split command on an input file?,"A. It will break the file into new files of 1,024 byte pieces each.
B. It will break the file into new files of 1,000 line pieces each.
C. It will break the file into new files of 1,024 kilobyte pieces each.
D. It will break the file into new files that are no more than 5% of the size of the original file.",https://www.examtopics.com/discussions/linux-foundation/view/44764-exam-lfcs-topic-1-question-56-discussion/
53,"Which of the following characters can be combined with a separator string in order to read from the current input source until the separator string, which is on a separate line and without any trailing spaces, is reached?","A. <<
B. <|
C. !<
D. &<",https://www.examtopics.com/discussions/linux-foundation/view/112375-exam-lfcs-topic-1-question-53-discussion/
52,"What is the output of the following command? echo ""Hello World"" | tr -d aieou","A. Hello World
B. eoo
C. Hll Wrld
D. eoo Hll Wrld",https://www.examtopics.com/discussions/linux-foundation/view/112374-exam-lfcs-topic-1-question-52-discussion/
138,What is the purpose of the file /etc/profile?,"A. It contains the welcome message that is displayed after login.
B. It contains security profiles defining which users are allowed to log in.
C. It contains environment variables that are set when a user logs in.
D. It contains default application profiles for users that run an application for the first time.",https://www.examtopics.com/discussions/linux-foundation/view/106537-exam-lfcs-topic-1-question-138-discussion/
107,Which of the following commands creates an ext3 filesystem on /dev/sdb1? (Choose TWO correct answers.),"A. /sbin/mke2fs -j /dev/sdb1
B. /sbin/mkfs -t ext3 /dev/sdb1
C. /sbin/mkfs -c ext3 /dev/sdb1
D. /sbin/mke3fs -j /dev/sdb1",https://www.examtopics.com/discussions/linux-foundation/view/106448-exam-lfcs-topic-1-question-107-discussion/
101,Which of the following commands changes the number of days before the ext3 filesystem on /dev/sda1 has to run through a full filesystem check while booting?,"A. tune2fs -d 200 /dev/sda1
B. tune2fs -c 200 /dev/sda1
C. tune2fs -i 200 /dev/sda1
D. tune2fs -n 200 /dev/sda1
E. tune2fs --days 200 /dev/sda1",https://www.examtopics.com/discussions/linux-foundation/view/57594-exam-lfcs-topic-1-question-101-discussion/
102,Which type of filesystem is created by mkfs when it is executed with the block device name only and without any additional parameters?,"A. ext2
B. ext3
C. ext4
D. XFS
E. VFAT",https://www.examtopics.com/discussions/linux-foundation/view/94922-exam-lfcs-topic-1-question-102-discussion/
97,Which of the following settings for umask ensures that new files have the default permissions -rw-r----- ?,"A. 0017
B. 0640
C. 0038
D. 0027",https://www.examtopics.com/discussions/linux-foundation/view/28974-exam-lfcs-topic-1-question-97-discussion/
90,Which of the following are valid stream redirection operators within Bash? (Choose THREE correct answers.),"A. <
B. <<<
C. >
D. >>>
E. %>",https://www.examtopics.com/discussions/linux-foundation/view/106080-exam-lfcs-topic-1-question-90-discussion/
80,Which of the following signals is sent to a process when the key combination CTRL+C is pressed on the keyboard?,"A. SIGTERM
B. SIGINT
C. SIGSTOP
D. SIGKILL",https://www.examtopics.com/discussions/linux-foundation/view/106078-exam-lfcs-topic-1-question-80-discussion/
67,Which of the following commands is used to change options and positional parameters for a running Bash?,"A. history
B. set
C. bashconf
D. setsh
E. envsetup",https://www.examtopics.com/discussions/linux-foundation/view/105779-exam-lfcs-topic-1-question-67-discussion/
66,Which grep command will print only the lines that do not end with a / in the file foo?,"A. grep '/$' foo
B. grep '/#' foo
C. grep -v '/$' foo
D. grep -v '/#' foo",https://www.examtopics.com/discussions/linux-foundation/view/57586-exam-lfcs-topic-1-question-66-discussion/
65,Which of the following commands displays the contents of a gzip compressed tar archive?,"A. gzip archive.tgz | tar xvf -
B. tar ztf archive.tgz
C. gzip -d archive.tgz | tar tvf -
D. tar cf archive.tgz",https://www.examtopics.com/discussions/linux-foundation/view/105778-exam-lfcs-topic-1-question-65-discussion/
62,"In the vi editor, how can commands such as moving the cursor or copying lines into the buffer be issued multiple times or applied to multiple rows?","A. By using the command :repeat followed by the number and the command.
B. By specifying the number right in front of a command such as 4l or 2yj.
C. By selecting all affected lines using the shift and cursor keys before applying the command.
D. By issuing a command such as :set repetition=4 which repeats every subsequent command 4 times.",https://www.examtopics.com/discussions/linux-foundation/view/105775-exam-lfcs-topic-1-question-62-discussion/
58,SIMULATION - Which command displays a list of all background tasks running in the current shell? (Specify ONLY the command without any path or parameters.),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/105773-exam-lfcs-topic-1-question-58-discussion/
94,Which of the following commands makes /bin/foo executable by everyone but writable only by its owner?,"A. chmod u=rwx,go=rx /bin/foo
B. chmod o+rwx,a+rx /bin/foo
C. chmod 577 /bin/foo
D. chmod 775 /bin/foo",https://www.examtopics.com/discussions/linux-foundation/view/61909-exam-lfcs-topic-1-question-94-discussion/
93,Which of the following commands changes the ownership of file.txt to the user dan and the group staff?,"A. chown dan/staff file.txt
B. chown dan:staff file.txt
C. chown -u dan -g staff file.txt
D. chown dan -g staff file.txt",https://www.examtopics.com/discussions/linux-foundation/view/45527-exam-lfcs-topic-1-question-93-discussion/
88,"When given the following command line. echo ""foo bar"" | tee bar | cat Which of the following output is created?","A. cat
B. foo bar
C. tee bar
D. bar
E. foo",https://www.examtopics.com/discussions/linux-foundation/view/57588-exam-lfcs-topic-1-question-88-discussion/
159,Which of the following commands can remove a user from a group?,"A. grouprm
B. groupmod
C. passwd
D. usergroups
E. usermod",https://www.examtopics.com/discussions/linux-foundation/view/94934-exam-lfcs-topic-1-question-159-discussion/
50,Which of the following commands will send output from the program myapp to both standard output (stdout) and the file file1.log?,"A. cat < myapp | cat > file1.log
B. myapp 0>&1 | cat > file1.log
C. myapp | cat > file1.log
D. myapp | tee file1.log
E. tee myapp file1.log",https://www.examtopics.com/discussions/linux-foundation/view/93621-exam-lfcs-topic-1-question-50-discussion/
49,"In compliance with the FHS, in which of the directories are man pages found?","A. /usr/share/man
B. /opt/man
C. /usr/doc/
D. /var/pkg/man
E. /var/man",https://www.examtopics.com/discussions/linux-foundation/view/93620-exam-lfcs-topic-1-question-49-discussion/
47,"Immediately after deleting 3 lines of text in vi and moving the cursor to a different line, which single character command will insert the deleted content below the current line?","A. i (lowercase)
B. P (uppercase)
C. p (lowercase)
D. U (uppercase)
E. u (lowercase)",https://www.examtopics.com/discussions/linux-foundation/view/93619-exam-lfcs-topic-1-question-47-discussion/
46,What is the maximum niceness value that a regular user can assign to a process with the nice command when executing a new process?,"A. 9
B. 19
C. 49
D. 99",https://www.examtopics.com/discussions/linux-foundation/view/44744-exam-lfcs-topic-1-question-46-discussion/
45,"SIMULATION - Which signal is missing from the following command that is commonly used to instruct a daemon to reinitialize itself, including reading configuration files? killall -s _______ daemon",VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/93618-exam-lfcs-topic-1-question-45-discussion/
44,"Which of the following commands kills the process with the PID 123 but allows the process to ""clean up"" before exiting?","A. kill -PIPE 123
B. kill -KILL 123
C. kill -STOP 123
D. kill -TERM 123",https://www.examtopics.com/discussions/linux-foundation/view/93617-exam-lfcs-topic-1-question-44-discussion/
43,Which of the following statements is correct regarding the command foo 1> bar?,"A. The stdout from the command foo is appended to the file bar.
B. The stdout from the command foo overwrites the file bar.
C. The command foo receives its stdin from the file bar.
D. The command foo receives its stdin from the stdout of the command bar.
E. The stderr from the command foo is saved to the file bar.",https://www.examtopics.com/discussions/linux-foundation/view/50261-exam-lfcs-topic-1-question-43-discussion/
42,"In a nested directory structure, which find command line option would be used to restrict the command to searching down a particular number of subdirectories?","A. -dirmax
B. -maxdepth
C. -maxlevels
D. -n
E. -s",https://www.examtopics.com/discussions/linux-foundation/view/93616-exam-lfcs-topic-1-question-42-discussion/
41,What command will generate a list of user names from /etc/passwd along with their login shell?,"A. column -s : 1,7 /etc/passwd
B. chop -c 1,7 /etc/passwd
C. colrm 1,7 /etc/passwd
D. cut -d: -f1,7 /etc/passwd",https://www.examtopics.com/discussions/linux-foundation/view/93615-exam-lfcs-topic-1-question-41-discussion/
39,Which of the following commands can be used to create a USB storage media from a disk image?,"A. gdisk
B. dd
C. cc
D. fdisk
E. mount",https://www.examtopics.com/discussions/linux-foundation/view/93613-exam-lfcs-topic-1-question-39-discussion/
38,Which of the following commands overwrites the bootloader located on /dev/sda without overwriting the partition table or any data following it?,"A. dd if=/dev/zero of=/dev/sda bs=512
B. dd if=/dev/zero of=/dev/sda bs=512 count=1
C. dd if=/dev/zero of=/dev/sda bs=440 count=1
D. dd if=/dev/zero of=/dev/sda bs=440",https://www.examtopics.com/discussions/linux-foundation/view/35514-exam-lfcs-topic-1-question-38-discussion/
37,SIMULATION - Which Debian package management tool asks the configuration questions for a specific already installed package just as if the package were being installed for the first time? (Specify ONLY the command without any path or parameters.),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/93611-exam-lfcs-topic-1-question-37-discussion/
36,SIMULATION - Which command will disable swapping on a device? (Specify ONLY the command without any path or parameters.),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/93610-exam-lfcs-topic-1-question-36-discussion/
35,SIMULATION - Which option to the yum command will update the entire system? (Specify ONLY the option name without any additional parameters.),VERIFY - No multiple choice answers found. Perhaps an image?,https://www.examtopics.com/discussions/linux-foundation/view/93609-exam-lfcs-topic-1-question-35-discussion/
